Experiment,Read Length,P-site Offset
GSM2667787,29,13
GSM2667787,30,13
GSM2667787,31,13
GSM2667787,32,14
GSM2667787,33,14
GSM2667787,34,14
GSM2667788,29,13
GSM2667788,30,13
GSM2667788,31,13
GSM2667788,32,14
GSM2667788,33,14
GSM2667788,34,14
GSM2667788,35,15
GSM2667791,24,14
GSM2667791,25,13
GSM2667791,26,14
GSM2667791,27,14
GSM2667791,28,13
GSM2667791,29,13
GSM2667791,30,13
GSM2667791,31,14
GSM2667791,32,15
GSM2667791,33,14
GSM2667792,24,14
GSM2667792,25,15
GSM2667792,26,13
GSM2667792,27,10
GSM2667792,28,13
GSM2667792,29,13
GSM2667795,24,13
GSM2667795,25,14
GSM2667795,26,11
GSM2667795,27,14
GSM2667795,28,13
GSM2667795,29,14
GSM2667795,30,11
GSM2667795,31,13
GSM2667796,28,12
GSM2667796,29,14
GSM2667796,30,14
GSM2667796,31,13
GSM2676361,26,11
GSM2676361,27,11
GSM2676361,28,11
GSM2676361,29,11
GSM2676361,30,11
GSM2676361,31,12
GSM2676362,26,11
GSM2676362,27,11
GSM2676362,28,11
GSM2676362,29,11
GSM2676362,30,11
GSM2676362,31,12
GSM2676362,32,12
GSM2676363,23,14
GSM2676363,24,11
GSM2676363,25,12
GSM2676363,26,13
GSM2676363,27,11
GSM2676363,28,11
GSM2676363,29,11
GSM2676363,30,12
GSM2676363,31,12
GSM2676364,25,15
GSM2676364,26,11
GSM2676364,27,11
GSM2676364,28,11
GSM2676364,29,11
GSM2676364,30,12
GSM2676364,31,12
GSM2676364,32,12
GSM2714725,22,11
GSM2714725,23,11
GSM2714725,24,11
GSM2714725,25,11
GSM2714725,26,11
GSM2714725,27,11
GSM2714725,28,11
GSM2714725,29,11
GSM2714725,30,11
GSM2714726,25,11
GSM2714726,26,11
GSM2714726,27,11
GSM2714726,28,11
GSM2714726,29,11
GSM2714726,30,11
GSM2714726,31,12
GSM2714727,23,11
GSM2714727,24,11
GSM2714727,25,11
GSM2714727,26,11
GSM2714727,27,11
GSM2714727,28,11
GSM2714727,29,11
GSM2714727,30,11
GSM2714728,24,11
GSM2714728,25,11
GSM2714728,26,11
GSM2714728,27,11
GSM2714728,28,11
GSM2714728,29,11
GSM2714728,30,11
GSM2714728,31,12
GSM2714737,23,11
GSM2714737,24,11
GSM2714737,25,11
GSM2714737,26,11
GSM2714737,27,11
GSM2714737,28,11
GSM2714737,29,11
GSM2714738,23,11
GSM2714738,24,11
GSM2714738,25,11
GSM2714738,26,11
GSM2714738,27,11
GSM2714738,28,11
GSM2714738,29,11
GSM2714738,30,12
GSM2714739,23,11
GSM2714739,24,11
GSM2714739,25,11
GSM2714739,26,11
GSM2714739,27,11
GSM2714739,28,11
GSM2714739,29,11
GSM2714739,30,12
GSM2714740,24,11
GSM2714740,25,11
GSM2714740,26,11
GSM2714740,27,11
GSM2714740,28,11
GSM2714740,29,11
GSM2714740,30,12
GSM2722301,26,11
GSM2722301,27,11
GSM2722301,28,12
GSM2722301,29,10
GSM2722301,30,11
GSM2722301,31,12
GSM2722301,32,11
GSM2722301,33,12
GSM2724032,22,14
GSM2724032,23,11
GSM2724032,24,15
GSM2724032,25,10
GSM2724032,26,11
GSM2724032,27,10
GSM2724032,28,10
GSM2724032,29,11
GSM2724032,30,10
GSM2724032,31,10
GSM2724032,32,11
GSM2724032,33,11
GSM2724033,21,11
GSM2724033,22,14
GSM2724033,23,14
GSM2724033,24,10
GSM2724033,25,11
GSM2724033,26,11
GSM2724033,27,10
GSM2724033,28,11
GSM2724033,29,10
GSM2724033,30,10
GSM2724033,31,15
GSM2724034,21,13
GSM2724034,22,11
GSM2724034,23,15
GSM2724034,24,15
GSM2724034,25,10
GSM2724034,26,11
GSM2724034,27,11
GSM2724034,28,11
GSM2724034,29,13
GSM2724034,30,11
GSM2724034,31,10
GSM2724034,32,15
GSM2724035,21,13
GSM2724035,22,10
GSM2724035,23,11
GSM2724035,24,13
GSM2724035,25,14
GSM2724035,26,11
GSM2724035,27,10
GSM2724035,28,10
GSM2724035,29,10
GSM2724035,30,11
GSM2724035,31,11
GSM2724036,26,12
GSM2724036,27,13
GSM2724036,28,10
GSM2724036,29,11
GSM2724036,30,12
GSM2724036,31,12
GSM2724036,32,12
GSM2724036,33,12
GSM2724036,34,12
GSM2724036,35,13
GSM2724036,36,13
GSM2724037,25,13
GSM2724037,26,12
GSM2724037,27,12
GSM2724037,28,10
GSM2724037,29,11
GSM2724037,30,12
GSM2724037,31,12
GSM2724037,32,12
GSM2724037,33,12
GSM2724037,34,12
GSM2724037,35,13
GSM2724037,36,13
GSM2724038,24,12
GSM2724038,25,13
GSM2724038,26,12
GSM2724038,27,13
GSM2724038,28,10
GSM2724038,29,11
GSM2724038,30,12
GSM2724038,31,12
GSM2724038,32,12
GSM2724038,33,12
GSM2724038,34,12
GSM2724038,35,10
GSM2724039,25,13
GSM2724039,26,12
GSM2724039,27,12
GSM2724039,28,10
GSM2724039,29,10
GSM2724039,30,12
GSM2724039,31,12
GSM2724039,32,12
GSM2724039,33,12
GSM2724039,34,12
GSM2724039,35,13
GSM2724039,36,13
GSM2734576,27,11
GSM2734576,28,11
GSM2734576,29,11
GSM2734576,30,12
GSM2734576,31,12
GSM2734577,26,11
GSM2734577,27,11
GSM2734577,28,11
GSM2734577,29,11
GSM2734577,30,12
GSM2734578,26,11
GSM2734578,27,11
GSM2734578,28,11
GSM2734578,29,11
GSM2734578,30,11
GSM2734579,27,11
GSM2734579,28,11
GSM2734579,29,11
GSM2734579,30,11
GSM2734580,26,11
GSM2734580,27,11
GSM2734580,28,11
GSM2734580,29,11
GSM2734580,30,11
GSM2734581,26,11
GSM2734581,27,11
GSM2734581,28,11
GSM2734581,29,11
GSM2734581,30,11
GSM2734582,25,11
GSM2734582,26,11
GSM2734582,27,11
GSM2734582,28,11
GSM2734582,29,11
GSM2734583,26,11
GSM2734583,27,11
GSM2734583,28,11
GSM2734583,29,11
GSM2734583,30,11
GSM2734584,26,11
GSM2734584,27,11
GSM2734584,28,11
GSM2734584,29,11
GSM2734585,26,11
GSM2734585,27,11
GSM2734585,28,11
GSM2734585,29,11
GSM2743733,26,11
GSM2743733,27,11
GSM2743733,28,11
GSM2743733,29,11
GSM2743733,30,12
GSM2743734,27,11
GSM2743734,28,11
GSM2743734,29,11
GSM2743734,30,12
GSM2743734,31,13
GSM2743735,26,11
GSM2743735,27,11
GSM2743735,28,11
GSM2743735,29,11
GSM2743735,30,12
GSM2743735,31,13
GSM2743736,27,11
GSM2743736,28,11
GSM2743736,29,11
GSM2743736,30,12
GSM2743736,31,13
GSM2743737,26,11
GSM2743737,27,11
GSM2743737,28,11
GSM2743737,29,11
GSM2743737,30,12
GSM2743738,26,11
GSM2743738,27,11
GSM2743738,28,11
GSM2743738,29,11
GSM2743738,30,12
GSM2743738,31,13
GSM2746367,24,11
GSM2746368,24,11
GSM2746369,24,11
GSM2746370,24,11
GSM2760247,22,11
GSM2760247,23,11
GSM2760247,24,11
GSM2760247,25,11
GSM2760247,26,11
GSM2760247,27,11
GSM2760247,28,11
GSM2760247,29,11
GSM2760249,26,11
GSM2760249,27,11
GSM2760249,28,11
GSM2760249,29,11
GSM2760249,30,12
GSM2760251,26,11
GSM2760251,27,11
GSM2760251,28,11
GSM2760251,29,11
GSM2760251,30,12
GSM2760253,25,11
GSM2760253,26,11
GSM2760253,27,11
GSM2760253,28,11
GSM2760253,29,11
GSM2760255,26,11
GSM2760255,27,11
GSM2760255,28,11
GSM2760255,29,11
GSM2760257,26,11
GSM2760257,27,11
GSM2760257,28,11
GSM2760257,29,11
GSM2760257,30,12
GSM2760257,31,12
GSM2760259,26,11
GSM2760259,27,11
GSM2760259,28,11
GSM2760259,29,11
GSM2760261,24,11
GSM2760261,25,11
GSM2760261,26,11
GSM2760261,27,11
GSM2760261,28,11
GSM2760261,29,11
GSM2760263,24,11
GSM2760263,25,11
GSM2760263,26,11
GSM2760263,27,11
GSM2760263,28,11
GSM2760263,29,11
GSM2760265,24,11
GSM2760265,25,11
GSM2760265,26,11
GSM2760265,27,11
GSM2760265,28,11
GSM2760265,29,11
GSM2779669,24,11
GSM2779669,25,11
GSM2779669,26,11
GSM2779669,27,11
GSM2779669,28,11
GSM2779670,24,11
GSM2779670,25,11
GSM2779670,26,11
GSM2779670,27,11
GSM2779670,28,11
GSM2779671,25,11
GSM2779671,26,11
GSM2779671,27,11
GSM2779671,28,11
GSM2779672,25,10
GSM2779672,26,11
GSM2779672,27,11
GSM2779672,28,11
GSM2779673,24,11
GSM2779673,25,11
GSM2779673,26,11
GSM2779673,27,11
GSM2779673,28,11
GSM2779673,29,11
GSM2779674,23,11
GSM2779674,24,11
GSM2779674,25,11
GSM2779674,26,11
GSM2779674,27,11
GSM2779674,28,11
GSM2779675,25,11
GSM2779675,26,11
GSM2779675,27,11
GSM2779675,28,11
GSM2779676,25,10
GSM2779676,26,11
GSM2779676,27,11
GSM2779676,28,11
GSM2788001,28,11
GSM2788001,29,11
GSM2788001,30,12
GSM2788001,31,12
GSM2788001,32,13
GSM2788002,28,11
GSM2788002,29,11
GSM2788002,30,12
GSM2788002,31,12
GSM2788002,32,13
GSM2788003,28,11
GSM2788003,29,11
GSM2788003,30,12
GSM2788003,31,12
GSM2788003,32,13
GSM2788007,27,11
GSM2788007,28,11
GSM2788007,29,11
GSM2788007,30,12
GSM2788007,31,12
GSM2788008,27,11
GSM2788008,28,11
GSM2788008,29,11
GSM2788008,30,12
GSM2788008,31,12
GSM2817679,26,11
GSM2817679,27,11
GSM2817679,28,11
GSM2817679,29,11
GSM2817680,26,11
GSM2817680,27,11
GSM2817680,28,11
GSM2817680,29,11
GSM2817681,24,12
GSM2817681,25,11
GSM2817681,26,11
GSM2817681,27,11
GSM2817681,28,11
GSM2817681,29,11
GSM2817681,30,12
GSM2817681,31,12
GSM2817681,32,12
GSM2817682,25,11
GSM2817682,26,11
GSM2817682,27,11
GSM2817682,28,11
GSM2817682,29,11
GSM2817683,26,11
GSM2817683,27,11
GSM2817683,28,11
GSM2817683,29,11
GSM2817683,30,12
GSM2817684,22,11
GSM2817684,23,11
GSM2817684,24,12
GSM2817684,25,11
GSM2817684,26,11
GSM2817684,27,11
GSM2817684,28,11
GSM2817684,29,11
GSM2817684,30,12
GSM2817684,31,12
GSM2817685,26,11
GSM2817685,27,11
GSM2817685,28,11
GSM2817685,29,11
GSM2817685,30,12
GSM2817685,31,12
GSM2817685,32,12
GSM2817685,33,12
GSM2817686,25,11
GSM2817686,26,11
GSM2817686,27,11
GSM2817686,28,11
GSM2817686,29,11
GSM2817687,23,11
GSM2817687,24,12
GSM2817687,25,11
GSM2817687,26,11
GSM2817687,27,11
GSM2817687,28,11
GSM2817687,29,11
GSM2817687,30,12
GSM2817687,31,12
GSM2817687,32,12
GSM2817688,23,11
GSM2817688,24,12
GSM2817688,25,11
GSM2817688,26,11
GSM2817688,27,11
GSM2817688,28,11
GSM2817688,29,11
GSM2817688,30,12
GSM2817688,31,12
GSM2817688,32,12
GSM2817689,24,11
GSM2817689,25,11
GSM2817689,26,11
GSM2817689,27,11
GSM2817689,28,11
GSM2817689,29,11
GSM2824214,27,11
GSM2824214,28,11
GSM2824214,29,11
GSM2824214,30,12
GSM2824215,27,11
GSM2824215,28,11
GSM2824215,29,11
GSM2824215,30,12
GSM2824216,27,11
GSM2824216,28,11
GSM2824216,29,11
GSM2824216,30,12
GSM2824217,27,11
GSM2824217,28,11
GSM2824217,29,12
GSM2824217,30,12
GSM2824218,27,11
GSM2824218,28,11
GSM2824218,29,11
GSM2824218,30,12
GSM2824219,27,11
GSM2824219,28,11
GSM2824219,29,12
GSM2824219,30,12
GSM2825128,26,11
GSM2825128,27,12
GSM2825128,28,12
GSM2825128,29,11
GSM2825129,26,14
GSM2825129,27,15
GSM2825129,28,10
GSM2825129,29,11
GSM2825130,26,11
GSM2825130,27,12
GSM2825130,28,11
GSM2825130,29,11
GSM2825131,25,15
GSM2825131,26,11
GSM2825131,27,15
